Comentario,Comentario_Para_BERT
Aquí tienes el descuento CyberGhost VPN: https://www.cyberghostvpn.com/InteligenciaArtificial,Aquí tienes el descuento CyberGhost VPN:
"Y todo eso que hiciste te salio gratis? Bajar un canal entero de Youtube, transcribirlo, y todo sin un solo costo? no consume tokens de la api?","Y todo eso que hiciste te salio gratis? Bajar un canal entero de Youtube, transcribirlo, y todo sin un solo costo? no consume tokens de la api?"
cuando terminas una frase se te va muy abajo el volumen de tu voz y no se suele entender lo que decís. Una pequeña no menor observación,cuando terminas una frase se te va muy abajo el volumen de tu voz y no se suele entender lo que decís. Una pequeña no menor observación
🤣,🤣
ni llevado por la peor de las drogas pagaría 100 pavos por eso xD,ni llevado por la peor de las drogas pagaría 100 pavos por eso xD
"Pero tu no te informas antes de darle al boton enviar? clawdbot es una pesadilla de seguridad y la gente que lo usa esta siendo hackeada """"""en masa""""""","Pero tu no te informas antes de darle al boton enviar? clawdbot es una pesadilla de seguridad y la gente que lo usa esta siendo hackeada """"""en masa"""""""
La parte de los riesgos es clave ⚠ Mucha gente va a instalar esto sin entender el peligro… después no digan que nadie avisó.,La parte de los riesgos es clave ⚠ Mucha gente va a instalar esto sin entender el peligro… después no digan que nadie avisó.
Puedexser q el video short no lo mostró?,Puedexser q el video short no lo mostró?
y la opcion de ejecutarlo en una maquina virtual?,y la opcion de ejecutarlo en una maquina virtual?
"nno sera el p*to malware ?, de momento mantenganse alejados de clawdbot/moltbot es un gran riesgo","nno sera el p*to malware ?, de momento mantenganse alejados de clawdbot/moltbot es un gran riesgo"
Aquí una opinión muy distinta sobre esta cosa https://m.youtube.com/watch?v=ld2-pMJOuwA,Aquí una opinión muy distinta sobre esta cosa
Prefiero esperar a que Gemini haga algo parecido,Prefiero esperar a que Gemini haga algo parecido
"Podes usar un mac mini para Clawdbot y otro para tu propio modelo de LLM, estaria genial","Podes usar un mac mini para Clawdbot y otro para tu propio modelo de LLM, estaria genial"
"Y en el móvil, como lo haces??","Y en el móvil, como lo haces??"
Se parece a la AI de la series de Loky. 😅,Se parece a la AI de la series de Loky. 😅
UFF ahora es un canal de propaganda,UFF ahora es un canal de propaganda
Excelenteee,Excelenteee
Igualito a la pelicula de 2013  Her,Igualito a la pelicula de 2013 Her
Macbook Mini?? ;.),Macbook Mini?? ;.)
jeje Parece mas una venta de productos.,jeje Parece mas una venta de productos.
Para que usarlo si va a ser riesgoso por la seguridad?,Para que usarlo si va a ser riesgoso por la seguridad?
"Como gestionas el máximo de tokens de entrada? Porque a mí en una sola conversación sencilla me superó los límites de TPM de mi API de Google (en concreto lanzaba consultas de 1.3M de tokens, una bestialidad)","Como gestionas el máximo de tokens de entrada? Porque a mí en una sola conversación sencilla me superó los límites de TPM de mi API de Google (en concreto lanzaba consultas de 1.3M de tokens, una bestialidad)"
Sabes John...todo eso que hace este asistente no lo utiliza más que una minoría....venden porches para lo que sobra una bicicleta o unos patines...son herramientas totalmente prescindibles....como miles de herramientas de software que nadie utiliza.,Sabes John...todo eso que hace este asistente no lo utiliza más que una minoría....venden porches para lo que sobra una bicicleta o unos patines...son herramientas totalmente prescindibles....como miles de herramientas de software que nadie utiliza.
En tu miniatura parece que estás desguillado y que tu cerebro te lo acabo de arrancar o que te lo sustituyeron por un trozo de chicle.,En tu miniatura parece que estás desguillado y que tu cerebro te lo acabo de arrancar o que te lo sustituyeron por un trozo de chicle.
"Hey hermano una pasada..!
Saludos desde rep.dom !!
Bendiciones!",Hey hermano una pasada..! Saludos desde rep.dom !! Bendiciones!
Y si lo montamos en una Maquina virtual?,Y si lo montamos en una Maquina virtual?
