Comentario,Comentario_Para_BERT,Sentimiento,Confianza
Aquí tienes el descuento CyberGhost VPN: https://www.cyberghostvpn.com/InteligenciaArtificial,Aquí tienes el descuento CyberGhost VPN:,Neutral,0.7459667921066284
"Y todo eso que hiciste te salio gratis? Bajar un canal entero de Youtube, transcribirlo, y todo sin un solo costo? no consume tokens de la api?","Y todo eso que hiciste te salio gratis? Bajar un canal entero de Youtube, transcribirlo, y todo sin un solo costo? no consume tokens de la api?",Negativo,0.5980222821235657
cuando terminas una frase se te va muy abajo el volumen de tu voz y no se suele entender lo que decís. Una pequeña no menor observación,cuando terminas una frase se te va muy abajo el volumen de tu voz y no se suele entender lo que decís. Una pequeña no menor observación,Negativo,0.9576291441917419
🤣,🤣,Neutral,0.0
ni llevado por la peor de las drogas pagaría 100 pavos por eso xD,ni llevado por la peor de las drogas pagaría 100 pavos por eso xD,Negativo,0.8826078772544861
"Pero tu no te informas antes de darle al boton enviar? clawdbot es una pesadilla de seguridad y la gente que lo usa esta siendo hackeada """"""en masa""""""","Pero tu no te informas antes de darle al boton enviar? clawdbot es una pesadilla de seguridad y la gente que lo usa esta siendo hackeada """"""en masa""""""",Negativo,0.9598180055618286
La parte de los riesgos es clave ⚠ Mucha gente va a instalar esto sin entender el peligro… después no digan que nadie avisó.,La parte de los riesgos es clave ⚠ Mucha gente va a instalar esto sin entender el peligro… después no digan que nadie avisó.,Negativo,0.6405344009399414
Puedexser q el video short no lo mostró?,Puedexser q el video short no lo mostró?,Negativo,0.5515822172164917
y la opcion de ejecutarlo en una maquina virtual?,y la opcion de ejecutarlo en una maquina virtual?,Neutral,0.7983992695808411
"nno sera el p*to malware ?, de momento mantenganse alejados de clawdbot/moltbot es un gran riesgo","nno sera el p*to malware ?, de momento mantenganse alejados de clawdbot/moltbot es un gran riesgo",Negativo,0.6961440443992615
Aquí una opinión muy distinta sobre esta cosa https://m.youtube.com/watch?v=ld2-pMJOuwA,Aquí una opinión muy distinta sobre esta cosa,Neutral,0.8311996459960938
Prefiero esperar a que Gemini haga algo parecido,Prefiero esperar a que Gemini haga algo parecido,Neutral,0.8438009023666382
"Podes usar un mac mini para Clawdbot y otro para tu propio modelo de LLM, estaria genial","Podes usar un mac mini para Clawdbot y otro para tu propio modelo de LLM, estaria genial",Positivo,0.5076544880867004
"Y en el móvil, como lo haces??","Y en el móvil, como lo haces??",Neutral,0.654896080493927
Se parece a la AI de la series de Loky. 😅,Se parece a la AI de la series de Loky. 😅,Neutral,0.516794741153717
UFF ahora es un canal de propaganda,UFF ahora es un canal de propaganda,Negativo,0.5620707869529724
